Data,Real (Aconteceu),Previsto (Modelo),Diferença (Unidades),Status
01/01/2022,478,372.01711698787614,105.98288301212386,Subestimou (Vendeu +)
01/02/2022,667,342.2527787419813,324.7472212580187,Subestimou (Vendeu +)
01/03/2022,514,358.83108315803514,155.16891684196486,Subestimou (Vendeu +)
01/04/2022,327,386.4081463342571,-59.40814633425708,Superestimou (Vendeu -)
01/05/2022,347,383.3100483892382,-36.310048389238204,Superestimou (Vendeu -)
01/06/2022,317,342.89968237963143,-25.89968237963143,Superestimou (Vendeu -)
01/07/2022,380,349.1674236288907,30.832576371109326,Subestimou (Vendeu +)
01/08/2022,374,395.0767793369958,-21.0767793369958,Superestimou (Vendeu -)
01/09/2022,468,332.0301566728513,135.96984332714868,Subestimou (Vendeu +)
01/10/2022,344,364.2770142890776,-20.277014289077613,Superestimou (Vendeu -)
01/11/2022,421,375.561987576775,45.43801242322502,Subestimou (Vendeu +)
01/12/2022,376,420.1657658711954,-44.16576587119539,Superestimou (Vendeu -)
